|Sentiment|,|TweetText|
|positive|,|Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple|
|positive|,|Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone|
|positive|,|Gone for a run|
|positive|,|@apple your simply the best.|
|positive|,|I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's|
|positive|,|Day305|
|positive|,|Loving the new iPod update @apple|
|positive|,|@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.|
|positive|,|@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed|
|positive|,|Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT|
|positive|,|Loving my new #iPhone4S thanks @apple for #ios5|
|positive|,|@apple the iPhone 4s is great #genius|
|positive|,|@apple Cards app notifies me the card I sent has arrived at local post office and should be delivered today... Sunday. Truly is #magic.|
|positive|,|@apple Siri is amazing|
|positive|,|@rygurl you need an @apple iphone4S with Siri!|
|positive|,|Meet #Siri|
|positive|,|So|
|positive|,|I ♥ @Apple http://t.co/a8on3IAa|
|positive|,|@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry|
|positive|,|Loving #iOS5 !! #awesome @Apple|
|positive|,|RT @MattyRiesz: @kathrynyee You were right|
|positive|,|@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??|
|positive|,|@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?|
|positive|,|@Apple iOS 5 is sweet! Notifications|
|positive|,|RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...|
|positive|,|Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s|
|positive|,|Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.|
|positive|,|Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D|
|positive|,|RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple|
|positive|,|the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple|
|positive|,|My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job|
|positive|,|It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!|
|positive|,|RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple|
|positive|,|@RickySinghPT got a new backside for my eye phone! V impressed with @apple|
|positive|,|#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things|
|positive|,|Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!|
|positive|,|Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple|
|positive|,|@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required|
|positive|,|New iOS 5 update is THE BEST. iloveyou @apple|
|positive|,|Finally got my iPhone 4S|
|positive|,|I absolutely love my iPhone 4S. Thank you|
|positive|,|@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s|
|positive|,|dammit|
|positive|,|Create new folders from within your photo album in #iOS5|
|positive|,|@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!|
|positive|,|#iOS5 update submitted to @apple! Thanks for all the support!|
|positive|,|I'm amazed at how siri has changed the way I use my phone. I had no idea it would be this good|
|positive|,|Awesome service from the @apple store in pc. Thanks chris!|
|positive|,|RT @To1ne: .@apple thanks for fixing this... http://t.co/wTj1ogDO|
|positive|,|I am crazy about #iOS5 . The photo cropping is the best! @apple|
|positive|,|.@apple thanks for fixing this... http://t.co/wTj1ogDO|
|positive|,|@apple has changed life.|
|positive|,|Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!|
|positive|,|The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple|
|positive|,|#iOs5 is nice and as it had to be ! Thanks @Apple|
|positive|,|Good support fm Kevin @apple #Bellevue store 4 biz customers TY!|
|positive|,|Wow I am loving this new @apple update for my touch. #coolness Well done|
|positive|,|@Apple: Siri is amazing!!! I'm in love!|
|positive|,|Love love love iOS 5!! @apple|
|negative|,|RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...|
|negative|,|RT @Jewelz2611 @mashable @apple|
|negative|,|@mashable @apple|
|negative|,|@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5|
|negative|,|@apple needs to hurry up and release #iTunesMatch|
|negative|,|Why is  #Siri always down @apple|
|negative|,|I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple|
|negative|,|@apple AirDrop #fail - Immediate declined your request. every time|
|negative|,|good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb|
|negative|,|Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s|
|negative|,|The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss|
|negative|,|Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple|
|negative|,|@paulens It surprises me that @Apple throws up an error alert about authorizing|
|negative|,|FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.|
|negative|,|Oh|
|negative|,|@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise… why doesn't it just auto-authorise it when I sign into iTunes? Grrrr...|
|negative|,|Seriously - I have absolutely no offing clue what @Apple means by authorization|
|negative|,|Boy|
|negative|,|shit|
|negative|,|. @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!|
|negative|,|Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance|
|negative|,|Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity|
|negative|,|I am so done with @Att and @apple 's profitering and lack of customer service|
|negative|,|It would be great If @Apple would send my new phone. #frustrated|
|negative|,|@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.|
|negative|,|@rogerweir no but I have the option of a  replacement iPhone 4s ?|
|negative|,|So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?|
|negative|,|You know @apple It's been almost a week since I paid for iTunes Match|
|negative|,|removing all @apple shit.|
|negative|,|So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple|
|negative|,|@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em|
|negative|,|Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise|
|negative|,|@bisquiat @Apple the upgrade just slows down my phone so much|
|negative|,|@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.|
|negative|,|Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat|
|negative|,|@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO|
|negative|,|Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.|
|negative|,|@FishMama: If you made a purchase|
|negative|,|Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!|
|negative|,|@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the newest model are suckers...|
|negative|,|Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.|
|negative|,|@APPLE Wow @MOTOROLA Just crushed your dreams....|
|negative|,|Time to play a game called wait at the @apple store forever because the tourists are taking forever with their genius appointments.|
|negative|,|Oh|
|negative|,|@apple|
|negative|,|@Apple|
|negative|,|@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T|
|negative|,|Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii|
|negative|,|@apple why is my iPhone battery so crappy #fail|
|negative|,|My @Apple @macbook keyboard will not type :(|
|negative|,|Why doesn't @apple iCloud sync Stickies? They've always been around|
|negative|,|@apple|
|negative|,|I hate my @apple computer.  Thats 3500 dollars down the drain.|
|negative|,|@apple my iPhone is charging very slowly!!!!!|
|negative|,|@Apple #iOS5 gm on ipad1 is very slow wash better on beta7/8 solve this problem|
|negative|,|@apple Wish I could pick month|
|negative|,|@Apple iTunes is the worst program ever. For such a great phone|
|negative|,|One would think the voice recognition on the @apple tech support line would work a little better.|
|negative|,|@apple $319 to repair my iPad 2|
|negative|,|@azee1v1 @apple @umber Proper consolidation|
|negative|,|@AsimRang @apple @umber the desktop app is wack though|
|negative|,|I made a reservation and yet I still have to wait in line. Humpt! Oh @apple (@ Apple Store w/ 2 others) http://t.co/JZmVBdNm|
|negative|,|Frustrated that I bought a new macbook pro from @apple only to find it doesnt ship with media! #expensivepaperweight|
|negative|,|Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can't handle it. 200 mb of data just because #|
|negative|,|#DontBeMadAtMeBecause #Android is by far better than @Apple|
|negative|,|@apple is there a problem with iOS 5 that is preventing audio apps and audio functions from operating properly? I keep losing sound.|
|negative|,|@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt|
|negative|,|Hey @Apple: stop sending your automatically-depreciate-all-iPhones-older-than-the-4s signal. My #iPhone4 is dying rapidly processor-wise.|
|negative|,|Only thing bad about the new @canon camera is that it has two compact flash cards... not one of SD. SD goes in my @apple computer. Damn you!|
|negative|,|Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???|
|negative|,|fuck u @apple|
|negative|,|oh and prolly ganna be late to work bc @apple has screwed me and my phone has my only alarm on it|
|negative|,|why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple|
|negative|,|. if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed|
|negative|,|Like @apple da fuck is this shit?  http://t.co/nb4DHlSg|
|negative|,|RT @CircusTK: I'm wit chu!! “@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my t ...|
|negative|,|Damn it @Apple!! Whatchu done to my phone??|
|negative|,|Samsung seeks iPhone 4S ban in Japan and Australia|
|negative|,|@apple|
|negative|,|@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??|
|negative|,|@apple the reservation system not working|
|negative|,|@albertmal88 remember @apple is evil. #icloud entering the #dropbox market|
|negative|,|I know a few others having same issue RT @Joelplane: 9% now on my second full charge of the day. Pissed @Apple|
|negative|,|9% now on my second full charge of the day. Pissed @Apple|
|negative|,|RT @ShayDiddy: @CircusTK @ups @apple both of them are bs!!! How do u tell me go between a certain time ONLY and the muh fuh is closed!|
|negative|,|I'm wit chu!! “@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my time!”|
|negative|,|ugh! @apple|
|negative|,|iTunes is @apple's worst product. Worse than the #Newton or the hockey puck mouse. It's utterly painful to use.|
|negative|,|Deár iCloud I HATE U |
|negative|,|i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account... thanks @Apple|
|negative|,|Issues with updating iTunes on my windows pc - they really are not compatible.... Sent more time talking to @Apple care than using it!!|
|negative|,|@apple u guys are gay|
|negative|,|Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE|
|negative|,|none of my apps work after the new ios from @apple. what do i do?!?|
|negative|,|Seemingly endless loop of calls to @apple|
|negative|,|@Wisconsin_Mommy @apple that's terrible!  I hope you get an apology!|
|negative|,|@zombiebomber have been on the phone with @verizonwireless and @apple pretty much ever since then. Really annoyed.|
|negative|,|@chascouponmom @apple I get they are busy w/ the new phone|
|negative|,|@apple @iphone Please deliver my daughter's i4s|
|negative|,|@sprint @bestbuy still no word on my iPhone4s preorder.  Best Buy blames Sprint|
|negative|,|Hey @apple|
|negative|,|Have never had such poor customer service at @Apple before! What happened? (@ Apple Store w/ 2 others) http://t.co/GKlXMUi6|
|negative|,|@Apple your service experience is really fucking slipping (except for cute|
|negative|,|Had ma Ipas not 24 hours an I jailbroke it...now its SHAGGED itunes won't letme restore it @apple SYM!!!!|
|negative|,|@hailfire101 @Irvysan They are... then @apple happened and snatched Siri so they could be douchebags and say 'it's ours!'|
|negative|,|What was @apple thinking making #Siri totally dependent on a network connection? Siri + @ATT = utter frustration.|
|negative|,|Wow the Genius Bar Reservation Line @Apple is ridic right now - ___- I am not amused. #ugh|
|negative|,|Where is my iPhone!?!?!?!|
|negative|,|@apple battery life suck on iOS 5|
|negative|,|An apple update has seemed to render my work machine incapable of opening HDV video. Thanks @Apple. Zero useful productivity today.|
|negative|,|@apple I committed to your cloud storage iDisk and now it's raining :-( so soon no more iDisk.  Any plans for a new service for storage?|
|negative|,|Hey @apple why can't I share a reminder list from my iPhone?|
|negative|,|Apparently fuzzball crashes on #iOS5. Congratulations @apple on another incompatible upgrade|
|negative|,|could @apple lion please integrate vertical spaces in mission control. this horizontal business is making me nauseous|
|negative|,|Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f|
|negative|,|GAH. @apple iOS 5 opens text messages painfully slow|
|negative|,|Dear @apple: Why did all my PDFs and ePub files disappear from ibooks in my iPhone post ios5 upgrade? This hurts. #3GS #needsomethingtoread|
|negative|,|“@CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.” &lt;&lt; check Settings: 8 times more App usage in iOS 5|
|negative|,|As a huge podcast fan - I really feel like @Apple dropped the ball on this one. http://t.co/wvzPrbCI via @Carrypad|
|negative|,|I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN|
|negative|,|“@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products|
|negative|,|I really hate dealing with the brain dead people at the @apple store. For such good products|
|negative|,|You can make photo albums in the Photos app with iOS 5|
|negative|,|Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall|
|negative|,|RT @CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.|
|negative|,|Updating to IOS5 with my regular iphone4 just made it slower and messed up.. @apple give me a free 4S and we can call it even|
|negative|,|@apple If you want to know what customers think dont send updates with the noreply return address. Who invented that anyway. #useless|
|negative|,|Every time I try the voice control on my iPod Touch to send an iMessage|
|negative|,|should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience|
|negative|,|Ok Hindi keyboard in #iOS5 is something to cheer about.  But @apple  what about  support for 20+ missing Indian languages!? #FAIL|
|negative|,|RT @ScottDugas: Warning: if iphone apps spontaneously loose data|
|negative|,|@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx|
|negative|,|Waiting for items to copy in Itunes after everything DID copy goes on|
|negative|,|@Apple unhappy again with service/product quality. Won't buy @Apple again.|
|negative|,|Lies @apple. the battery on this new iPhone4S is definitely not any better.|
|negative|,|“@philipgrey: dear @apple|
|negative|,|Been on hold with @apple customer service for 25 minutes. Wow|
|negative|,|@Apple you're killing me. Excited about iOS5 no longer- tragic battery drain|
|negative|,|1st impressions  of #iOS5- Disappointed w upgrade restore. Lot of apps & folders missing @apple do  how much time went in2 orging it? #fail|
|negative|,|@PrJusto Don't question the @Apple they will remember your dissent!|
|negative|,|@apple: Multiple times siri is having trouble connecting to the network.  Siri needs servers (and some exercise!)|
|negative|,|RT @JimMcNiel: if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is havin ...|
|negative|,|dear @apple|
|negative|,|Ugh. WTF is up with all the bottlenecks @paypal @apple?|
|negative|,|+1  RT @Doug_Newton: @apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!|
|negative|,|@apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!|
|negative|,|if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is having issues?|
|negative|,|any chance @apple will release good headphones that dont blast music outside the ears? #iphone #ipod its quite obnoxious|
|negative|,|@Apple - #Siri is not working due to network problem? Seriously? Can you fix this? #iPhone4s #Fail|
|negative|,|@trisha_ps @iCloud is Cloudy. @apple tech|
|negative|,|@electricsoup It has to connect to @Apple to process commands|
|negative|,|See @Apple|
|negative|,|This. RT @bonkoif Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable|
|negative|,|Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable|
|negative|,|Spoke to an @Apple rep on phone & could hear her tv blaring in the bg.  She said|
|negative|,|What's wrong with Siri today @apple|
|negative|,|@Apple Siri is down!|
|negative|,|I'm suspecting @Apple timed the health-decline of my iPhone 4 perfectly with the iPhone 4s release... My battery is seriously ailing.|
|negative|,|on hold for another half hour. phone is ringing but no one is picking up.@apple you stink.|
|negative|,|Ok this @Apple software update for the #iphone is taking waaaaay too long!|
|negative|,|@jane73 @Gazmaz hopefully it's a small bug @Apple must be fixing it. RIGHT  APPLE }:0( |
|negative|,|@samsung|
|negative|,|@Apple - why do I have to have apps I am updating in their original 'folder' location? That was painful.|
|negative|,|@apple domain fail. Open 2 hrs late for walk in ppl. Store was empty and i only need a skin 4 my screen. You represent customer service FAIL|
|negative|,|@BrianMincey @apple the chipsets tear through battery life. Coworker has a htc thunderbolt that he gets about 3 hours of life.|
|negative|,|I wish the Apple updater would stop trying to ram iTunes down my throat. I don't own a pissing iPhone @apple|
|negative|,|Just searching with my voice on my 2 year old nexus one @apple.|
|negative|,|@apple|
|negative|,|Thanks to a 90 minute wait on hold|
|negative|,|I am very upset about and inconvenienced by this iphone update failed backup. @iphone @apple|
|negative|,|but seriously @apple finance me a damn phone you greedy bastards! OR Santa...get your jolly ass in gear and get us a 4S - white plz|
|negative|,|My schedule is 2 busy 2 spend UNquality time with @ATT @Apple 2 recover Iphone again-The mo' mobile I get the mo' immobile I is. Sync Not!|
|negative|,|Pondering the iOS update... From the sounds of @MikeFerri's difficulties|
|negative|,|@twalve @apple you know the issues they have with DST and alarms :p|
|negative|,|Why book @Apple Genius Bar if after 2.5 hours you still can't be served. Disappointing Apple Store Sydney. #thanksfornothing|
|negative|,|Apparently @Apple genius training doesn't extend to clocks & service. They're half an hour late for my appointment and couldn't let me know?|
|negative|,|Wow. iCloud's mail is down. 1st the iOS 5 upgrade issues and now this. I really hope this isn't @apple without Steve Jobs.|
|negative|,|@apple  why don't you guys test your upgrades before you put them out. 15 1/2 hrs u guys wasted of my time yesterday. Thanks.|
|negative|,|what is going on with all my @Apple products?! First my #iPad freezes (still is frozen) and then my #iPhone won't turn on!!! #techieTroubles|
|negative|,|#iPad in perpetual restore loop after trying to upgrade to #iOS5 :(|
|negative|,|2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff.|
|negative|,|It took @apple about 7 years just to figure out how to properly syncronize an iPhone.  WOW!  #ios5|
|negative|,|@apple So I went to the 5th Ave store and was told I could wait about 4 hours to get a 4S. Needless to say I'm back at the hotel relaxing.|
|negative|,|Terrible customer service at Los Gatos @Apple! Why do I have to pay $199 for a bad home button on my iPhone?!?|
|negative|,|@Apple thank you for sucking so much. I cannot believe you would sell something online that isn't made|
|negative|,|Having major battery drain issue since updating iPhone 4 to iOS 5.  Anyone else? @AppStore @iPhone @apple|
|negative|,|Dear @apple please send me my Mac Book back surely the repair is done by now... Thanks!|
|negative|,|@Apple|
|negative|,|@Apple|
|negative|,|Iphone 4s siri doesn't work for shit @apple|
|negative|,|Clarence Thomas must have designed the new OSX lion|
|negative|,|@semilshah yeah except that when you ask for a receipt|
|negative|,|Bummer!  My @Yahoo! iPad fantasy football app keeps crashing; not sure if it's the app or the new @apple iOS 5. Only two apps running.|
|negative|,|@Apple can suck my dick gotta restore my ipad #annoyed|
|negative|,|@nansen Man|
|negative|,|Dear @Apple Contacts|
|negative|,|Is it too much to ask which app is incompatible|
|negative|,|Pissed with whoever designs keyboards with @apple for not having a home and end key.  working on the CLI i use those keys often|
|negative|,|@NoVaTyler @apple Most of mine are gone too! Not recovered after I saved them b4 I upgraded my iPhone! Soooo pissed!|
|negative|,|hey @apple do you wanna fix my fucking playlist order|
|neutral|,|@Late_Show I would have watched but the folks at @apple have a jihad against adobe flash. Plse consider a YouTube link in future on UR site|
|neutral|,|RT @rdingwell: .@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more|
|neutral|,|Hey @apple|
|neutral|,|.@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more|
|neutral|,|@Apple how fun wouldn't it be if it was possible to integrate  ( soon to be named ) with notifications?|
|neutral|,|Interesting read on war b/w @Apple & @Samsung- http://t.co/Vt9d24Yi -using latter|
|neutral|,|RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc ...|
|neutral|,|The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget|
|neutral|,|Today's headline: @apple reports lower 4Q earnings. Headline in 3 months: @Apple reports record Q1 earnings.|
